nodeID_from,nodeID_to,country_name,country_ISO3
1,2,AGO,AGO
1,3,AGO,AGO
1,4,AGO,AGO
1,5,AGO,AGO
1,6,AGO,AGO
1,7,AGO,AGO
1,8,AGO,AGO
1,9,AGO,AGO
1,10,AGO,AGO
1,11,AGO,AGO
1,12,AGO,AGO
1,13,AGO,AGO
1,14,AGO,AGO
1,15,AGO,AGO
1,16,AGO,AGO
1,17,AGO,AGO
1,18,AGO,AGO
2,3,AGO,AGO
2,4,AGO,AGO
2,5,AGO,AGO
2,6,AGO,AGO
2,7,AGO,AGO
2,8,AGO,AGO
2,9,AGO,AGO
2,10,AGO,AGO
2,11,AGO,AGO
2,12,AGO,AGO
2,13,AGO,AGO
2,14,AGO,AGO
2,15,AGO,AGO
2,16,AGO,AGO
2,17,AGO,AGO
2,18,AGO,AGO
3,4,AGO,AGO
3,5,AGO,AGO
3,6,AGO,AGO
3,7,AGO,AGO
3,8,AGO,AGO
3,9,AGO,AGO
3,10,AGO,AGO
3,11,AGO,AGO
3,12,AGO,AGO
3,13,AGO,AGO
3,14,AGO,AGO
3,15,AGO,AGO
3,16,AGO,AGO
3,17,AGO,AGO
3,18,AGO,AGO
4,5,AGO,AGO
4,6,AGO,AGO
4,7,AGO,AGO
4,8,AGO,AGO
4,9,AGO,AGO
4,10,AGO,AGO
4,11,AGO,AGO
4,12,AGO,AGO
4,13,AGO,AGO
4,14,AGO,AGO
4,15,AGO,AGO
4,16,AGO,AGO
4,17,AGO,AGO
4,18,AGO,AGO
5,6,AGO,AGO
5,7,AGO,AGO
5,8,AGO,AGO
5,9,AGO,AGO
5,10,AGO,AGO
5,11,AGO,AGO
5,12,AGO,AGO
5,13,AGO,AGO
5,14,AGO,AGO
5,15,AGO,AGO
5,16,AGO,AGO
5,17,AGO,AGO
5,18,AGO,AGO
6,7,AGO,AGO
6,8,AGO,AGO
6,9,AGO,AGO
6,10,AGO,AGO
6,11,AGO,AGO
6,12,AGO,AGO
6,13,AGO,AGO
6,14,AGO,AGO
6,15,AGO,AGO
6,16,AGO,AGO
6,17,AGO,AGO
6,18,AGO,AGO
7,8,AGO,AGO
7,9,AGO,AGO
7,10,AGO,AGO
7,11,AGO,AGO
7,12,AGO,AGO
7,13,AGO,AGO
7,14,AGO,AGO
7,15,AGO,AGO
7,16,AGO,AGO
7,17,AGO,AGO
7,18,AGO,AGO
8,9,AGO,AGO
8,10,AGO,AGO
8,11,AGO,AGO
8,12,AGO,AGO
8,13,AGO,AGO
8,14,AGO,AGO
8,15,AGO,AGO
8,16,AGO,AGO
8,17,AGO,AGO
8,18,AGO,AGO
9,10,AGO,AGO
9,11,AGO,AGO
9,12,AGO,AGO
9,13,AGO,AGO
9,14,AGO,AGO
9,15,AGO,AGO
9,16,AGO,AGO
9,17,AGO,AGO
9,18,AGO,AGO
10,11,AGO,AGO
10,12,AGO,AGO
10,13,AGO,AGO
10,14,AGO,AGO
10,15,AGO,AGO
10,16,AGO,AGO
10,17,AGO,AGO
10,18,AGO,AGO
11,12,AGO,AGO
11,13,AGO,AGO
11,14,AGO,AGO
11,15,AGO,AGO
11,16,AGO,AGO
11,17,AGO,AGO
11,18,AGO,AGO
12,13,AGO,AGO
12,14,AGO,AGO
12,15,AGO,AGO
12,16,AGO,AGO
12,17,AGO,AGO
12,18,AGO,AGO
13,14,AGO,AGO
13,15,AGO,AGO
13,16,AGO,AGO
13,17,AGO,AGO
13,18,AGO,AGO
14,15,AGO,AGO
14,16,AGO,AGO
14,17,AGO,AGO
14,18,AGO,AGO
15,16,AGO,AGO
15,17,AGO,AGO
15,18,AGO,AGO
16,17,AGO,AGO
16,18,AGO,AGO
17,18,AGO,AGO
