nodeID_from,nodeID_to,country_name,country_ISO3
1,2,ARG,ARG
1,3,ARG,ARG
1,4,ARG,ARG
1,5,ARG,ARG
1,6,ARG,ARG
1,7,ARG,ARG
1,8,ARG,ARG
1,9,ARG,ARG
1,10,ARG,ARG
1,11,ARG,ARG
1,12,ARG,ARG
1,13,ARG,ARG
1,14,ARG,ARG
1,15,ARG,ARG
1,16,ARG,ARG
1,17,ARG,ARG
1,18,ARG,ARG
1,19,ARG,ARG
1,20,ARG,ARG
1,21,ARG,ARG
1,22,ARG,ARG
1,23,ARG,ARG
1,24,ARG,ARG
2,3,ARG,ARG
2,4,ARG,ARG
2,5,ARG,ARG
2,6,ARG,ARG
2,7,ARG,ARG
2,8,ARG,ARG
2,9,ARG,ARG
2,10,ARG,ARG
2,11,ARG,ARG
2,12,ARG,ARG
2,13,ARG,ARG
2,14,ARG,ARG
2,15,ARG,ARG
2,16,ARG,ARG
2,17,ARG,ARG
2,18,ARG,ARG
2,19,ARG,ARG
2,20,ARG,ARG
2,21,ARG,ARG
2,22,ARG,ARG
2,23,ARG,ARG
2,24,ARG,ARG
3,4,ARG,ARG
3,5,ARG,ARG
3,6,ARG,ARG
3,7,ARG,ARG
3,8,ARG,ARG
3,9,ARG,ARG
3,10,ARG,ARG
3,11,ARG,ARG
3,12,ARG,ARG
3,13,ARG,ARG
3,14,ARG,ARG
3,15,ARG,ARG
3,16,ARG,ARG
3,17,ARG,ARG
3,18,ARG,ARG
3,19,ARG,ARG
3,20,ARG,ARG
3,21,ARG,ARG
3,22,ARG,ARG
3,23,ARG,ARG
3,24,ARG,ARG
4,5,ARG,ARG
4,6,ARG,ARG
4,7,ARG,ARG
4,8,ARG,ARG
4,9,ARG,ARG
4,10,ARG,ARG
4,11,ARG,ARG
4,12,ARG,ARG
4,13,ARG,ARG
4,14,ARG,ARG
4,15,ARG,ARG
4,16,ARG,ARG
4,17,ARG,ARG
4,18,ARG,ARG
4,19,ARG,ARG
4,20,ARG,ARG
4,21,ARG,ARG
4,22,ARG,ARG
4,23,ARG,ARG
4,24,ARG,ARG
5,6,ARG,ARG
5,7,ARG,ARG
5,8,ARG,ARG
5,9,ARG,ARG
5,10,ARG,ARG
5,11,ARG,ARG
5,12,ARG,ARG
5,13,ARG,ARG
5,14,ARG,ARG
5,15,ARG,ARG
5,16,ARG,ARG
5,17,ARG,ARG
5,18,ARG,ARG
5,19,ARG,ARG
5,20,ARG,ARG
5,21,ARG,ARG
5,22,ARG,ARG
5,23,ARG,ARG
5,24,ARG,ARG
6,7,ARG,ARG
6,8,ARG,ARG
6,9,ARG,ARG
6,10,ARG,ARG
6,11,ARG,ARG
6,12,ARG,ARG
6,13,ARG,ARG
6,14,ARG,ARG
6,15,ARG,ARG
6,16,ARG,ARG
6,17,ARG,ARG
6,18,ARG,ARG
6,19,ARG,ARG
6,20,ARG,ARG
6,21,ARG,ARG
6,22,ARG,ARG
6,23,ARG,ARG
6,24,ARG,ARG
7,8,ARG,ARG
7,9,ARG,ARG
7,10,ARG,ARG
7,11,ARG,ARG
7,12,ARG,ARG
7,13,ARG,ARG
7,14,ARG,ARG
7,15,ARG,ARG
7,16,ARG,ARG
7,17,ARG,ARG
7,18,ARG,ARG
7,19,ARG,ARG
7,20,ARG,ARG
7,21,ARG,ARG
7,22,ARG,ARG
7,23,ARG,ARG
7,24,ARG,ARG
8,9,ARG,ARG
8,10,ARG,ARG
8,11,ARG,ARG
8,12,ARG,ARG
8,13,ARG,ARG
8,14,ARG,ARG
8,15,ARG,ARG
8,16,ARG,ARG
8,17,ARG,ARG
8,18,ARG,ARG
8,19,ARG,ARG
8,20,ARG,ARG
8,21,ARG,ARG
8,22,ARG,ARG
8,23,ARG,ARG
8,24,ARG,ARG
9,10,ARG,ARG
9,11,ARG,ARG
9,12,ARG,ARG
9,13,ARG,ARG
9,14,ARG,ARG
9,15,ARG,ARG
9,16,ARG,ARG
9,17,ARG,ARG
9,18,ARG,ARG
9,19,ARG,ARG
9,20,ARG,ARG
9,21,ARG,ARG
9,22,ARG,ARG
9,23,ARG,ARG
9,24,ARG,ARG
10,11,ARG,ARG
10,12,ARG,ARG
10,13,ARG,ARG
10,14,ARG,ARG
10,15,ARG,ARG
10,16,ARG,ARG
10,17,ARG,ARG
10,18,ARG,ARG
10,19,ARG,ARG
10,20,ARG,ARG
10,21,ARG,ARG
10,22,ARG,ARG
10,23,ARG,ARG
10,24,ARG,ARG
11,12,ARG,ARG
11,13,ARG,ARG
11,14,ARG,ARG
11,15,ARG,ARG
11,16,ARG,ARG
11,17,ARG,ARG
11,18,ARG,ARG
11,19,ARG,ARG
11,20,ARG,ARG
11,21,ARG,ARG
11,22,ARG,ARG
11,23,ARG,ARG
11,24,ARG,ARG
12,13,ARG,ARG
12,14,ARG,ARG
12,15,ARG,ARG
12,16,ARG,ARG
12,17,ARG,ARG
12,18,ARG,ARG
12,19,ARG,ARG
12,20,ARG,ARG
12,21,ARG,ARG
12,22,ARG,ARG
12,23,ARG,ARG
12,24,ARG,ARG
13,14,ARG,ARG
13,15,ARG,ARG
13,16,ARG,ARG
13,17,ARG,ARG
13,18,ARG,ARG
13,19,ARG,ARG
13,20,ARG,ARG
13,21,ARG,ARG
13,22,ARG,ARG
13,23,ARG,ARG
13,24,ARG,ARG
14,15,ARG,ARG
14,16,ARG,ARG
14,17,ARG,ARG
14,18,ARG,ARG
14,19,ARG,ARG
14,20,ARG,ARG
14,21,ARG,ARG
14,22,ARG,ARG
14,23,ARG,ARG
14,24,ARG,ARG
15,16,ARG,ARG
15,17,ARG,ARG
