nodeID,nodeLabel,latitude,longitude
1,Buenos Aires,-36.68352662373872,-60.565978464709296
2,Jujuy,-23.317464232356723,-65.76219066356816
3,La Pampa,-37.130310930869854,-65.44833774458301
4,La Rioja,-29.67988555766561,-67.17829280224097
5,Mendoza,-34.62865147491233,-68.58667904847339
6,Misiones,-26.874875956025075,-54.64727700987635
7,Neuquén,-38.6356253961511,-70.11797889642526
8,Río Negro,-40.406810655200616,-67.2290014357569
9,Salta,-24.29608961965695,-64.81994138819651
10,San Juan,-30.86424011103775,-68.87496045243292
11,San Luis,-33.76741265378227,-66.02992998763742
12,Catamarca,-27.33218321213502,-66.95244450197428
13,Santa Cruz,-48.8127067108716,-69.94144159313389
14,Santa Fe,-30.703538142948684,-60.95070866546071
15,Santiago del Estero,-27.782228433768935,-63.258476581034195
16,Tierra del Fuego,-54.33202133570795,-67.40135144920228
17,Tucumán,-26.943791964219425,-65.36569835895506
18,Chaco,-26.387374950284894,-60.766741835415196
19,Chubut,-43.78962611032714,-68.52321670247088
20,Ciudad de Buenos Aires,-34.61767799054462,-58.44443585321758
21,Córdoba,-32.14121809751961,-63.79954776959038
22,Corrientes,-28.776519792696188,-57.8058586394727
23,Entre Ríos,-32.04603236190646,-59.20754034754873
24,Formosa,-24.894434710829753,-59.93434035396249
