nodeID_from,nodeID_to,country_name,country_ISO3
1,2,ARM,ARM
1,3,ARM,ARM
1,4,ARM,ARM
1,5,ARM,ARM
1,6,ARM,ARM
1,7,ARM,ARM
1,8,ARM,ARM
1,9,ARM,ARM
1,10,ARM,ARM
1,11,ARM,ARM
2,3,ARM,ARM
2,4,ARM,ARM
2,5,ARM,ARM
2,6,ARM,ARM
2,7,ARM,ARM
2,8,ARM,ARM
2,9,ARM,ARM
2,10,ARM,ARM
2,11,ARM,ARM
3,4,ARM,ARM
3,5,ARM,ARM
3,6,ARM,ARM
3,7,ARM,ARM
3,8,ARM,ARM
3,9,ARM,ARM
3,10,ARM,ARM
3,11,ARM,ARM
4,5,ARM,ARM
4,6,ARM,ARM
4,7,ARM,ARM
4,8,ARM,ARM
4,9,ARM,ARM
4,10,ARM,ARM
4,11,ARM,ARM
5,6,ARM,ARM
5,7,ARM,ARM
5,8,ARM,ARM
5,9,ARM,ARM
5,10,ARM,ARM
5,11,ARM,ARM
6,7,ARM,ARM
6,8,ARM,ARM
6,9,ARM,ARM
6,10,ARM,ARM
6,11,ARM,ARM
7,8,ARM,ARM
7,9,ARM,ARM
7,10,ARM,ARM
7,11,ARM,ARM
8,9,ARM,ARM
8,10,ARM,ARM
8,11,ARM,ARM
9,10,ARM,ARM
9,11,ARM,ARM
10,11,ARM,ARM
