nodeID,nodeLabel,latitude,longitude
1,Absheron,40.45467646322354,49.43540291748771
2,Yukhari-Karabakh,39.77879270567173,46.957457366548184
3,Aran,40.019016514393016,48.12735224755654
4,Daglig-Shirvan,40.64052293386222,48.480735476411795
5,Ganja-Qazakh,40.81297171645104,46.00283837693378
6,Kalbajar-Lachin,39.77461383423607,46.33403269251376
7,Lankaran,38.92181399105805,48.56972820104961
8,Nakhchivan,39.30326900128553,45.51581717799238
9,Quba-Khachmaz,41.275923981108136,48.582541990016885
10,Shaki-Zaqatala,41.23246386029988,47.11151326167276
