nodeID_from,nodeID_to,country_name,country_ISO3
1,2,BFA,BFA
1,3,BFA,BFA
1,4,BFA,BFA
1,5,BFA,BFA
1,6,BFA,BFA
1,7,BFA,BFA
1,8,BFA,BFA
1,9,BFA,BFA
1,10,BFA,BFA
1,11,BFA,BFA
1,12,BFA,BFA
1,13,BFA,BFA
2,3,BFA,BFA
2,4,BFA,BFA
2,5,BFA,BFA
2,6,BFA,BFA
2,7,BFA,BFA
2,8,BFA,BFA
2,9,BFA,BFA
2,10,BFA,BFA
2,11,BFA,BFA
2,12,BFA,BFA
2,13,BFA,BFA
3,4,BFA,BFA
3,5,BFA,BFA
3,6,BFA,BFA
3,7,BFA,BFA
3,8,BFA,BFA
3,9,BFA,BFA
3,10,BFA,BFA
3,11,BFA,BFA
3,12,BFA,BFA
3,13,BFA,BFA
4,5,BFA,BFA
4,6,BFA,BFA
4,7,BFA,BFA
4,8,BFA,BFA
4,9,BFA,BFA
4,10,BFA,BFA
4,11,BFA,BFA
4,12,BFA,BFA
4,13,BFA,BFA
5,6,BFA,BFA
5,7,BFA,BFA
5,8,BFA,BFA
5,9,BFA,BFA
5,10,BFA,BFA
5,11,BFA,BFA
5,12,BFA,BFA
5,13,BFA,BFA
6,7,BFA,BFA
6,8,BFA,BFA
6,9,BFA,BFA
6,10,BFA,BFA
6,11,BFA,BFA
6,12,BFA,BFA
6,13,BFA,BFA
7,8,BFA,BFA
7,9,BFA,BFA
7,10,BFA,BFA
7,11,BFA,BFA
7,12,BFA,BFA
7,13,BFA,BFA
8,9,BFA,BFA
8,10,BFA,BFA
8,11,BFA,BFA
8,12,BFA,BFA
8,13,BFA,BFA
9,10,BFA,BFA
9,11,BFA,BFA
9,12,BFA,BFA
9,13,BFA,BFA
10,11,BFA,BFA
10,12,BFA,BFA
10,13,BFA,BFA
11,12,BFA,BFA
11,13,BFA,BFA
12,13,BFA,BFA
