nodeID,nodeLabel,latitude,longitude
1,Acre,-9.309916735880247,-70.44666617524693
2,Maranhão,-5.068699303445185,-45.28740688976686
3,Mato Grosso,-12.949599884197543,-55.919200970767285
4,Mato Grosso do Sul,-20.32589839435768,-54.84547025703049
5,Minas Gerais,-18.457985629300275,-44.65770348222011
6,Pará,-3.9733803203123146,-53.062525324743405
7,Paraíba,-7.1425685594398045,-36.87254734045696
8,Paraná,-24.636831198692466,-51.62375031530324
9,Pernambuco,-8.326044242804029,-37.99888227051332
10,Piauí,-7.384484436264415,-42.96912486195732
11,Rio de Janeiro,-22.19491891988278,-42.6613538641466
12,Alagoas,-9.51555361360571,-36.623195616626795
13,Rio Grande do Norte,-5.846985350112252,-36.682165709985
14,Rio Grande do Sul,-29.737838898660065,-53.31683674036337
15,Rondônia,-10.898564768640423,-62.85654950846674
16,Roraima,2.084692211869343,-61.398019462471524
17,Santa Catarina,-26.29853803218333,-50.800617353679286
18,São Paulo,-22.265412863241924,-48.73276064123466
19,Sergipe,-10.590889557705706,-37.44606645195458
20,Tocantins,-10.1501837153602,-48.33000119531844
21,Amapá,1.440043429560382,-51.961033090153755
22,Amazonas,-4.186776806608581,-64.71488057979415
23,Bahia,-12.473311133166387,-41.73007712980875
24,Ceará,-5.091464292318118,-39.61790209864904
25,Distrito Federal,-15.78111951597595,-47.797225970354894
26,Espírito Santo,-19.642671817265487,-40.6611489613741
27,Goiás,-16.044428854428645,-49.62332081404553
