nodeID_from,nodeID_to,country_name,country_ISO3
1,2,BWA,BWA
1,3,BWA,BWA
1,4,BWA,BWA
1,5,BWA,BWA
1,6,BWA,BWA
1,7,BWA,BWA
1,8,BWA,BWA
1,9,BWA,BWA
1,10,BWA,BWA
1,11,BWA,BWA
1,12,BWA,BWA
1,13,BWA,BWA
1,14,BWA,BWA
1,15,BWA,BWA
2,3,BWA,BWA
2,4,BWA,BWA
2,5,BWA,BWA
2,6,BWA,BWA
2,7,BWA,BWA
2,8,BWA,BWA
2,9,BWA,BWA
2,10,BWA,BWA
2,11,BWA,BWA
2,12,BWA,BWA
2,13,BWA,BWA
2,14,BWA,BWA
2,15,BWA,BWA
3,4,BWA,BWA
3,5,BWA,BWA
3,6,BWA,BWA
3,7,BWA,BWA
3,8,BWA,BWA
3,9,BWA,BWA
3,10,BWA,BWA
3,11,BWA,BWA
3,12,BWA,BWA
3,13,BWA,BWA
3,14,BWA,BWA
3,15,BWA,BWA
4,5,BWA,BWA
4,6,BWA,BWA
4,7,BWA,BWA
4,8,BWA,BWA
4,9,BWA,BWA
4,10,BWA,BWA
4,11,BWA,BWA
4,12,BWA,BWA
4,13,BWA,BWA
4,14,BWA,BWA
4,15,BWA,BWA
5,6,BWA,BWA
5,7,BWA,BWA
5,8,BWA,BWA
5,9,BWA,BWA
5,10,BWA,BWA
5,11,BWA,BWA
5,12,BWA,BWA
5,13,BWA,BWA
5,14,BWA,BWA
5,15,BWA,BWA
6,7,BWA,BWA
6,8,BWA,BWA
6,9,BWA,BWA
6,10,BWA,BWA
6,11,BWA,BWA
6,12,BWA,BWA
6,13,BWA,BWA
6,14,BWA,BWA
6,15,BWA,BWA
7,8,BWA,BWA
7,9,BWA,BWA
7,10,BWA,BWA
7,11,BWA,BWA
7,12,BWA,BWA
7,13,BWA,BWA
7,14,BWA,BWA
7,15,BWA,BWA
8,9,BWA,BWA
8,10,BWA,BWA
8,11,BWA,BWA
8,12,BWA,BWA
8,13,BWA,BWA
8,14,BWA,BWA
8,15,BWA,BWA
9,10,BWA,BWA
9,11,BWA,BWA
9,12,BWA,BWA
9,13,BWA,BWA
9,14,BWA,BWA
9,15,BWA,BWA
10,11,BWA,BWA
10,12,BWA,BWA
10,13,BWA,BWA
10,14,BWA,BWA
10,15,BWA,BWA
11,12,BWA,BWA
11,13,BWA,BWA
11,14,BWA,BWA
11,15,BWA,BWA
12,13,BWA,BWA
12,14,BWA,BWA
12,15,BWA,BWA
13,14,BWA,BWA
13,15,BWA,BWA
14,15,BWA,BWA
