nodeID,nodeLabel,latitude,longitude
1,Central,-21.538796730191823,26.271682723707965
2,Lobatse,-25.213798766084437,25.68549914090605
3,North-East,-21.0145521290311,27.567602039601226
4,North-West,-19.611551141919193,22.771297279597416
5,Selibe Phikwe,-21.97918813672399,27.84895927386972
6,South-East,-24.972419206969654,25.772042548938394
7,Southern,-24.924800196528164,24.465517806746472
8,Chobe,-18.51269687900895,24.80380032643024
9,Francistown,-21.177312380494723,27.497112842067587
10,Gaborone,-24.619619625193057,25.931149716276416
11,Ghanzi,-22.294119794077396,22.599457513270462
12,Jwaneng,-24.607074962635558,24.73113115442072
13,Kgalagadi,-24.856264223952177,21.753468453143284
14,Kgatleng,-24.15241759338557,26.351842088855612
15,Kweneng,-23.862785431671686,24.686336549266205
