nodeID_from,nodeID_to,country_name,country_ISO3
1,2,CHL,CHL
1,3,CHL,CHL
1,4,CHL,CHL
1,5,CHL,CHL
1,6,CHL,CHL
1,7,CHL,CHL
1,8,CHL,CHL
1,9,CHL,CHL
1,10,CHL,CHL
1,11,CHL,CHL
1,12,CHL,CHL
1,13,CHL,CHL
1,14,CHL,CHL
1,15,CHL,CHL
2,3,CHL,CHL
2,4,CHL,CHL
2,5,CHL,CHL
2,6,CHL,CHL
2,7,CHL,CHL
2,8,CHL,CHL
2,9,CHL,CHL
2,10,CHL,CHL
2,11,CHL,CHL
2,12,CHL,CHL
2,13,CHL,CHL
2,14,CHL,CHL
2,15,CHL,CHL
3,4,CHL,CHL
3,5,CHL,CHL
3,6,CHL,CHL
3,7,CHL,CHL
3,8,CHL,CHL
3,9,CHL,CHL
3,10,CHL,CHL
3,11,CHL,CHL
3,12,CHL,CHL
3,13,CHL,CHL
3,14,CHL,CHL
3,15,CHL,CHL
4,5,CHL,CHL
4,6,CHL,CHL
4,7,CHL,CHL
4,8,CHL,CHL
4,9,CHL,CHL
4,10,CHL,CHL
4,11,CHL,CHL
4,12,CHL,CHL
4,13,CHL,CHL
4,14,CHL,CHL
4,15,CHL,CHL
5,6,CHL,CHL
5,7,CHL,CHL
5,8,CHL,CHL
5,9,CHL,CHL
5,10,CHL,CHL
5,11,CHL,CHL
5,12,CHL,CHL
5,13,CHL,CHL
5,14,CHL,CHL
5,15,CHL,CHL
6,7,CHL,CHL
6,8,CHL,CHL
6,9,CHL,CHL
6,10,CHL,CHL
6,11,CHL,CHL
6,12,CHL,CHL
6,13,CHL,CHL
6,14,CHL,CHL
6,15,CHL,CHL
7,8,CHL,CHL
7,9,CHL,CHL
7,10,CHL,CHL
7,11,CHL,CHL
7,12,CHL,CHL
7,13,CHL,CHL
7,14,CHL,CHL
7,15,CHL,CHL
8,9,CHL,CHL
8,10,CHL,CHL
8,11,CHL,CHL
8,12,CHL,CHL
8,13,CHL,CHL
8,14,CHL,CHL
8,15,CHL,CHL
9,10,CHL,CHL
9,11,CHL,CHL
9,12,CHL,CHL
9,13,CHL,CHL
9,14,CHL,CHL
9,15,CHL,CHL
10,11,CHL,CHL
10,12,CHL,CHL
10,13,CHL,CHL
10,14,CHL,CHL
10,15,CHL,CHL
11,12,CHL,CHL
11,13,CHL,CHL
11,14,CHL,CHL
11,15,CHL,CHL
12,13,CHL,CHL
12,14,CHL,CHL
12,15,CHL,CHL
13,14,CHL,CHL
13,15,CHL,CHL
14,15,CHL,CHL
