nodeID,nodeLabel,latitude,longitude
1,Aisén del General Carlos Ibáñez del Campo,-46.41965645381888,-73.26041334630199
2,Los Ríos,-40.06676622388129,-72.5739347139111
3,Magallanes y Antártica Chilena,-52.479004486741005,-71.90046371677366
4,Maule,-35.576151732875964,-71.41651915866578
5,Ñuble,-36.622174470258294,-71.92759287723148
6,Región Metropolitana de Santiago,-33.58542770114395,-70.65403425962612
7,Tarapacá,-20.138889749690154,-69.40635869851205
8,Antofagasta,-23.45660048371932,-69.1030264383186
9,Araucanía,-38.695637853231844,-72.27993230686256
10,Arica y Parinacota,-18.430457962339982,-69.62214813675422
11,Atacama,-27.36934471331505,-69.91352322879823
12,Bío-Bío,-37.485250527547066,-72.43114739105633
13,Coquimbo,-30.607070140648247,-70.86966563021093
14,Libertador General Bernardo O'Higgins,-34.42912919914748,-71.06506577167262
15,Los Lagos,-42.03620172406591,-72.89815521735208
