nodeID_from,nodeID_to,country_name,country_ISO3
1,2,CMR,CMR
1,3,CMR,CMR
1,4,CMR,CMR
1,5,CMR,CMR
1,6,CMR,CMR
1,7,CMR,CMR
1,8,CMR,CMR
1,9,CMR,CMR
1,10,CMR,CMR
2,3,CMR,CMR
2,4,CMR,CMR
2,5,CMR,CMR
2,6,CMR,CMR
2,7,CMR,CMR
2,8,CMR,CMR
2,9,CMR,CMR
2,10,CMR,CMR
3,4,CMR,CMR
3,5,CMR,CMR
3,6,CMR,CMR
3,7,CMR,CMR
3,8,CMR,CMR
3,9,CMR,CMR
3,10,CMR,CMR
4,5,CMR,CMR
4,6,CMR,CMR
4,7,CMR,CMR
4,8,CMR,CMR
4,9,CMR,CMR
4,10,CMR,CMR
5,6,CMR,CMR
5,7,CMR,CMR
5,8,CMR,CMR
5,9,CMR,CMR
5,10,CMR,CMR
6,7,CMR,CMR
6,8,CMR,CMR
6,9,CMR,CMR
6,10,CMR,CMR
7,8,CMR,CMR
7,9,CMR,CMR
7,10,CMR,CMR
8,9,CMR,CMR
8,10,CMR,CMR
9,10,CMR,CMR
