nodeID_from,nodeID_to,country_name,country_ISO3
1,2,DNK,DNK
1,3,DNK,DNK
1,4,DNK,DNK
1,5,DNK,DNK
1,6,DNK,DNK
1,7,DNK,DNK
1,8,DNK,DNK
1,9,DNK,DNK
1,10,DNK,DNK
1,11,DNK,DNK
2,3,DNK,DNK
2,4,DNK,DNK
2,5,DNK,DNK
2,6,DNK,DNK
2,7,DNK,DNK
2,8,DNK,DNK
2,9,DNK,DNK
2,10,DNK,DNK
2,11,DNK,DNK
3,4,DNK,DNK
3,5,DNK,DNK
3,6,DNK,DNK
3,7,DNK,DNK
3,8,DNK,DNK
3,9,DNK,DNK
3,10,DNK,DNK
3,11,DNK,DNK
4,5,DNK,DNK
4,6,DNK,DNK
4,7,DNK,DNK
4,8,DNK,DNK
4,9,DNK,DNK
4,10,DNK,DNK
4,11,DNK,DNK
5,6,DNK,DNK
5,7,DNK,DNK
5,8,DNK,DNK
5,9,DNK,DNK
5,10,DNK,DNK
5,11,DNK,DNK
6,7,DNK,DNK
6,8,DNK,DNK
6,9,DNK,DNK
6,10,DNK,DNK
6,11,DNK,DNK
7,8,DNK,DNK
7,9,DNK,DNK
7,10,DNK,DNK
7,11,DNK,DNK
8,9,DNK,DNK
8,10,DNK,DNK
8,11,DNK,DNK
9,10,DNK,DNK
9,11,DNK,DNK
10,11,DNK,DNK
