nodeID,nodeLabel,latitude,longitude
1,Azua,18.58035967045733,-70.82192836081427
2,Independencia,18.42689621899569,-71.61705119749236
3,La Altagracia,18.56508100932772,-68.65665854997589
4,La Estrelleta,18.996255356049513,-71.60207832920372
5,La Romana,18.509509025788685,-68.9690423073667
6,La Vega,19.04710174254419,-70.62419856797472
7,María Trinidad Sánchez,19.441966862340482,-69.9660441501918
8,Monseñor Nouel,18.901022177738703,-70.40821227123877
9,Monte Cristi,19.71605048901338,-71.44481407437806
10,Monte Plata,18.835560624854658,-69.79531416407166
11,Pedernales,17.960461644504903,-71.52835975867778
12,Bahoruco,18.50863268944153,-71.32594067185227
13,Peravia,18.333279658629213,-70.36201625591961
14,Puerto Plata,19.740241368212768,-70.79653222281009
15,Salcedo,19.410585328925396,-70.36418641098578
16,Samaná,19.226315956072654,-69.48051351378729
17,San Cristóbal,18.5244338468946,-70.20079562332764
18,San José de Ocoa,18.61474029271134,-70.48644902325661
19,San Juan,18.87288570787333,-71.27828195362139
20,San Pedro de Macorís,18.552902264056105,-69.35438953271137
21,Sánchez Ramírez,19.014855392401277,-70.13559806379801
22,Santiago,19.322621670337274,-70.89148103090776
23,Barahona,18.17262622149124,-71.20552238044544
24,Santiago Rodríguez,19.373509938985524,-71.3113946417799
25,Santo Domingo,18.565240272095053,-69.84153434430705
26,Valverde,19.575536320533647,-71.0330752598726
27,Dajabón,19.430858395879444,-71.59479992563594
28,Distrito Nacional,18.48607339797596,-69.93454937697125
29,Duarte,19.25340043961174,-70.08120178357521
30,El Seybo,18.821753945476374,-69.04469308965525
31,Espaillat,19.53001404972217,-70.38509539187378
32,Hato Mayor,18.86576060547247,-69.36723103926727
