nodeID_from,nodeID_to,country_name,country_ISO3
1,2,ETH,ETH
1,3,ETH,ETH
1,4,ETH,ETH
1,5,ETH,ETH
1,6,ETH,ETH
1,7,ETH,ETH
1,8,ETH,ETH
1,9,ETH,ETH
1,10,ETH,ETH
1,11,ETH,ETH
2,3,ETH,ETH
2,4,ETH,ETH
2,5,ETH,ETH
2,6,ETH,ETH
2,7,ETH,ETH
2,8,ETH,ETH
2,9,ETH,ETH
2,10,ETH,ETH
2,11,ETH,ETH
3,4,ETH,ETH
3,5,ETH,ETH
3,6,ETH,ETH
3,7,ETH,ETH
3,8,ETH,ETH
3,9,ETH,ETH
3,10,ETH,ETH
3,11,ETH,ETH
4,5,ETH,ETH
4,6,ETH,ETH
4,7,ETH,ETH
4,8,ETH,ETH
4,9,ETH,ETH
4,10,ETH,ETH
4,11,ETH,ETH
5,6,ETH,ETH
5,7,ETH,ETH
5,8,ETH,ETH
5,9,ETH,ETH
5,10,ETH,ETH
5,11,ETH,ETH
6,7,ETH,ETH
6,8,ETH,ETH
6,9,ETH,ETH
6,10,ETH,ETH
6,11,ETH,ETH
7,8,ETH,ETH
7,9,ETH,ETH
7,10,ETH,ETH
7,11,ETH,ETH
8,9,ETH,ETH
8,10,ETH,ETH
8,11,ETH,ETH
9,10,ETH,ETH
9,11,ETH,ETH
10,11,ETH,ETH
