nodeID,nodeLabel,latitude,longitude
1,Addis Abeba,8.980482941833936,38.78553855027467
2,"Southern Nations, Nationalities and Peoples",6.466449331561339,36.811052343533355
3,Tigray,13.776728264083388,38.441507399002774
4,Afar,12.037480357786746,40.76842630445296
5,Amhara,11.562463913283349,38.047311693342564
6,Benshangul-Gumaz,10.508006715468083,35.442377784438406
7,Dire Dawa,9.606269023540415,42.00302662811007
8,Gambela Peoples,7.707367954948038,34.328623182971256
9,Harari People,9.28966018028816,42.17252598163699
10,Oromia,7.50723661125819,38.765441584724954
11,Somali,6.918982846052323,43.3358243895205
