nodeID_from,nodeID_to,country_name,country_ISO3
1,2,FIN,FIN
1,3,FIN,FIN
1,4,FIN,FIN
1,5,FIN,FIN
1,6,FIN,FIN
1,7,FIN,FIN
1,8,FIN,FIN
1,9,FIN,FIN
1,10,FIN,FIN
1,11,FIN,FIN
1,12,FIN,FIN
1,13,FIN,FIN
1,14,FIN,FIN
1,15,FIN,FIN
1,16,FIN,FIN
1,17,FIN,FIN
1,18,FIN,FIN
1,19,FIN,FIN
2,3,FIN,FIN
2,4,FIN,FIN
2,5,FIN,FIN
2,6,FIN,FIN
2,7,FIN,FIN
2,8,FIN,FIN
2,9,FIN,FIN
2,10,FIN,FIN
2,11,FIN,FIN
2,12,FIN,FIN
2,13,FIN,FIN
2,14,FIN,FIN
2,15,FIN,FIN
2,16,FIN,FIN
2,17,FIN,FIN
2,18,FIN,FIN
2,19,FIN,FIN
3,4,FIN,FIN
3,5,FIN,FIN
3,6,FIN,FIN
3,7,FIN,FIN
3,8,FIN,FIN
3,9,FIN,FIN
3,10,FIN,FIN
3,11,FIN,FIN
3,12,FIN,FIN
3,13,FIN,FIN
3,14,FIN,FIN
3,15,FIN,FIN
3,16,FIN,FIN
3,17,FIN,FIN
3,18,FIN,FIN
3,19,FIN,FIN
4,5,FIN,FIN
4,6,FIN,FIN
4,7,FIN,FIN
4,8,FIN,FIN
4,9,FIN,FIN
4,10,FIN,FIN
4,11,FIN,FIN
4,12,FIN,FIN
4,13,FIN,FIN
4,14,FIN,FIN
4,15,FIN,FIN
4,16,FIN,FIN
4,17,FIN,FIN
4,18,FIN,FIN
4,19,FIN,FIN
5,6,FIN,FIN
5,7,FIN,FIN
5,8,FIN,FIN
5,9,FIN,FIN
5,10,FIN,FIN
5,11,FIN,FIN
5,12,FIN,FIN
5,13,FIN,FIN
5,14,FIN,FIN
5,15,FIN,FIN
5,16,FIN,FIN
5,17,FIN,FIN
5,18,FIN,FIN
5,19,FIN,FIN
6,7,FIN,FIN
6,8,FIN,FIN
6,9,FIN,FIN
6,10,FIN,FIN
6,11,FIN,FIN
6,12,FIN,FIN
6,13,FIN,FIN
6,14,FIN,FIN
6,15,FIN,FIN
6,16,FIN,FIN
6,17,FIN,FIN
6,18,FIN,FIN
6,19,FIN,FIN
7,8,FIN,FIN
7,9,FIN,FIN
7,10,FIN,FIN
7,11,FIN,FIN
7,12,FIN,FIN
7,13,FIN,FIN
7,14,FIN,FIN
7,15,FIN,FIN
7,16,FIN,FIN
7,17,FIN,FIN
7,18,FIN,FIN
7,19,FIN,FIN
8,9,FIN,FIN
8,10,FIN,FIN
8,11,FIN,FIN
8,12,FIN,FIN
8,13,FIN,FIN
8,14,FIN,FIN
8,15,FIN,FIN
8,16,FIN,FIN
8,17,FIN,FIN
8,18,FIN,FIN
8,19,FIN,FIN
9,10,FIN,FIN
9,11,FIN,FIN
9,12,FIN,FIN
9,13,FIN,FIN
9,14,FIN,FIN
9,15,FIN,FIN
9,16,FIN,FIN
9,17,FIN,FIN
9,18,FIN,FIN
9,19,FIN,FIN
10,11,FIN,FIN
10,12,FIN,FIN
10,13,FIN,FIN
10,14,FIN,FIN
10,15,FIN,FIN
10,16,FIN,FIN
10,17,FIN,FIN
10,18,FIN,FIN
10,19,FIN,FIN
11,12,FIN,FIN
11,13,FIN,FIN
11,14,FIN,FIN
11,15,FIN,FIN
11,16,FIN,FIN
11,17,FIN,FIN
11,18,FIN,FIN
11,19,FIN,FIN
12,13,FIN,FIN
12,14,FIN,FIN
12,15,FIN,FIN
12,16,FIN,FIN
12,17,FIN,FIN
12,18,FIN,FIN
12,19,FIN,FIN
13,14,FIN,FIN
13,15,FIN,FIN
13,16,FIN,FIN
13,17,FIN,FIN
13,18,FIN,FIN
13,19,FIN,FIN
14,15,FIN,FIN
14,16,FIN,FIN
14,17,FIN,FIN
14,18,FIN,FIN
14,19,FIN,FIN
15,16,FIN,FIN
15,17,FIN,FIN
15,18,FIN,FIN
15,19,FIN,FIN
16,17,FIN,FIN
16,18,FIN,FIN
16,19,FIN,FIN
17,18,FIN,FIN
17,19,FIN,FIN
18,19,FIN,FIN
