nodeID,nodeLabel,latitude,longitude
1,Atlántida,15.662550228257517,-87.16402045568228
2,Intibucá,14.316955143733614,-88.20422925742716
3,Islas de la Bahía,16.341061151314236,-86.38021652705098
4,La Paz,14.094834710303564,-87.88235464822192
5,Lempira,14.39697289145137,-88.5875011907075
6,Ocotepeque,14.47734072972918,-89.04319516385593
7,Olancho,14.830054399717824,-85.93681988794916
8,Santa Bárbara,15.086694927355431,-88.34704918335973
9,Valle,13.537083527613095,-87.58877235058044
10,Yoro,15.300523488617998,-87.20288077640528
11,Choluteca,13.345946484188127,-87.1170182567734
12,Colón,15.640241289574812,-85.61156444115801
13,Comayagua,14.612966633185811,-87.64010596628565
14,Copán,14.898903644822541,-88.89409529315884
15,Cortés,15.396587686011046,-87.99667906252198
16,El Paraíso,14.016555478599738,-86.48299852107607
17,Francisco Morazán,14.283520271185214,-87.18812587071439
18,Gracias a Dios,15.224302846398174,-84.35015817971838
