nodeID,nodeLabel,latitude,longitude
1,Primorsko-goranska županija,45.290499999999994,14.655149009146342
2,Ličko-senjska županija,44.813,15.366536416068673
3,Zadarska županija,44.1725,15.59163108509848
4,Šibensko-kninska županija,43.67999999999999,15.996870762711866
5,Splitsko-dalmatinska županija,43.738,16.546536072772902
6,Istarska županija,45.247,13.89926523041226
7,Dubrovačko-neretvanska županija,43.025499999999994,17.13033589136319
8,Grad Zagreb,45.823,16.021592001933065
9,Zagrebačka županija,45.778000000000006,16.377391981613897
10,Krapinsko-zagorska županija,46.1725,15.888239130434776
11,Varaždinska županija,46.1755,16.316784296028878
12,Koprivničko-križevačka županija,46.176500000000004,16.815531245922315
13,Međimurska županija,46.427,16.486541666666668
14,Bjelovarsko-bilogorska županija,45.7765,16.94104197512585
15,Virovitičko-podravska županija,45.683499999999995,17.616890342584696
16,Požeško-slavonska županija,45.411500000000004,17.501143959658755
17,Brodsko-posavska županija,45.19799999999999,17.83537921764924
18,Osječko-baranjska županija,45.638999999999996,18.441549971652442
19,Vukovarsko-srijemska županija,45.1435,18.903777586206907
20,Karlovačka županija,45.3835,15.513014500899278
21,Sisačko-moslavačka županija,45.414,16.457556282793313
