nodeID_from,nodeID_to,country_name,country_ISO3
1,2,HTI,HTI
1,3,HTI,HTI
1,4,HTI,HTI
1,5,HTI,HTI
1,6,HTI,HTI
1,7,HTI,HTI
1,8,HTI,HTI
1,9,HTI,HTI
1,10,HTI,HTI
2,3,HTI,HTI
2,4,HTI,HTI
2,5,HTI,HTI
2,6,HTI,HTI
2,7,HTI,HTI
2,8,HTI,HTI
2,9,HTI,HTI
2,10,HTI,HTI
3,4,HTI,HTI
3,5,HTI,HTI
3,6,HTI,HTI
3,7,HTI,HTI
3,8,HTI,HTI
3,9,HTI,HTI
3,10,HTI,HTI
4,5,HTI,HTI
4,6,HTI,HTI
4,7,HTI,HTI
4,8,HTI,HTI
4,9,HTI,HTI
4,10,HTI,HTI
5,6,HTI,HTI
5,7,HTI,HTI
5,8,HTI,HTI
5,9,HTI,HTI
5,10,HTI,HTI
6,7,HTI,HTI
6,8,HTI,HTI
6,9,HTI,HTI
6,10,HTI,HTI
7,8,HTI,HTI
7,9,HTI,HTI
7,10,HTI,HTI
8,9,HTI,HTI
8,10,HTI,HTI
9,10,HTI,HTI
