nodeID,nodeLabel,latitude,longitude
1,Centre,19.009576903752375,-71.98171950945904
2,Sud-Est,18.252826000095883,-72.3603019924211
3,Grand'Anse,18.506923389076263,-74.13137710517859
4,L'Artibonite,19.331971900277022,-72.56710797073066
5,Nippes,18.43291068950585,-73.3950814726816
6,Nord,19.60002970721189,-72.29704523582994
7,Nord-Est,19.508607633214034,-71.8883279012101
8,Nord-Ouest,19.82121743598265,-73.03692964976825
9,Ouest,18.578031219039413,-72.42536268971186
10,Sud,18.27965357657914,-73.71586649037135
