nodeID,nodeLabel,latitude,longitude
1,Budapest,47.491,19.083772071678318
2,Pest,47.552499999999995,19.438885558223994
3,Fejér,47.1815,18.497915806347535
4,Komárom-Esztergom,47.4835,18.161903327555514
5,Veszprém,47.19149999999999,17.606808160711452
6,Győr-Moson-Sopron,47.692499999999995,17.299583810888233
7,Vas,47.20099999999999,16.779896909089373
8,Zala,46.599,16.855527906976743
9,Baranya,46.0115,18.25493457943925
10,Somogy,46.536,17.639586099585067
11,Tolna,46.572500000000005,18.510927087724944
12,Borsod-Abaúj-Zemplén,48.1085,20.85665564903846
13,Heves,47.904500000000006,20.164819432773108
14,Nógrád,47.9785,19.43551838235294
15,Hajdú-Bihar,47.415,21.450354538690473
16,Jász-Nagykun-Szolnok,47.1195,20.42756184665849
17,Szabolcs-Szatmár-Bereg,48.17,22.080513919821826
18,Bács-Kiskun,46.497,19.372651069518717
19,Békés,46.727000000000004,20.98021024514492
20,Csongrád,46.5395,20.252231796116504
