nodeID_from,nodeID_to,country_name,country_ISO3
1,2,KAZ,KAZ
1,3,KAZ,KAZ
1,4,KAZ,KAZ
1,5,KAZ,KAZ
1,6,KAZ,KAZ
1,7,KAZ,KAZ
1,8,KAZ,KAZ
1,9,KAZ,KAZ
1,10,KAZ,KAZ
1,11,KAZ,KAZ
1,12,KAZ,KAZ
1,13,KAZ,KAZ
1,14,KAZ,KAZ
2,3,KAZ,KAZ
2,4,KAZ,KAZ
2,5,KAZ,KAZ
2,6,KAZ,KAZ
2,7,KAZ,KAZ
2,8,KAZ,KAZ
2,9,KAZ,KAZ
2,10,KAZ,KAZ
2,11,KAZ,KAZ
2,12,KAZ,KAZ
2,13,KAZ,KAZ
2,14,KAZ,KAZ
3,4,KAZ,KAZ
3,5,KAZ,KAZ
3,6,KAZ,KAZ
3,7,KAZ,KAZ
3,8,KAZ,KAZ
3,9,KAZ,KAZ
3,10,KAZ,KAZ
3,11,KAZ,KAZ
3,12,KAZ,KAZ
3,13,KAZ,KAZ
3,14,KAZ,KAZ
4,5,KAZ,KAZ
4,6,KAZ,KAZ
4,7,KAZ,KAZ
4,8,KAZ,KAZ
4,9,KAZ,KAZ
4,10,KAZ,KAZ
4,11,KAZ,KAZ
4,12,KAZ,KAZ
4,13,KAZ,KAZ
4,14,KAZ,KAZ
5,6,KAZ,KAZ
5,7,KAZ,KAZ
5,8,KAZ,KAZ
5,9,KAZ,KAZ
5,10,KAZ,KAZ
5,11,KAZ,KAZ
5,12,KAZ,KAZ
5,13,KAZ,KAZ
5,14,KAZ,KAZ
6,7,KAZ,KAZ
6,8,KAZ,KAZ
6,9,KAZ,KAZ
6,10,KAZ,KAZ
6,11,KAZ,KAZ
6,12,KAZ,KAZ
6,13,KAZ,KAZ
6,14,KAZ,KAZ
7,8,KAZ,KAZ
7,9,KAZ,KAZ
7,10,KAZ,KAZ
7,11,KAZ,KAZ
7,12,KAZ,KAZ
7,13,KAZ,KAZ
7,14,KAZ,KAZ
8,9,KAZ,KAZ
8,10,KAZ,KAZ
8,11,KAZ,KAZ
8,12,KAZ,KAZ
8,13,KAZ,KAZ
8,14,KAZ,KAZ
9,10,KAZ,KAZ
9,11,KAZ,KAZ
9,12,KAZ,KAZ
9,13,KAZ,KAZ
9,14,KAZ,KAZ
10,11,KAZ,KAZ
10,12,KAZ,KAZ
10,13,KAZ,KAZ
10,14,KAZ,KAZ
11,12,KAZ,KAZ
11,13,KAZ,KAZ
11,14,KAZ,KAZ
12,13,KAZ,KAZ
12,14,KAZ,KAZ
13,14,KAZ,KAZ
