nodeID_from,nodeID_to,country_name,country_ISO3
1,2,LSO,LSO
1,3,LSO,LSO
1,4,LSO,LSO
1,5,LSO,LSO
1,6,LSO,LSO
1,7,LSO,LSO
1,8,LSO,LSO
1,9,LSO,LSO
1,10,LSO,LSO
2,3,LSO,LSO
2,4,LSO,LSO
2,5,LSO,LSO
2,6,LSO,LSO
2,7,LSO,LSO
2,8,LSO,LSO
2,9,LSO,LSO
2,10,LSO,LSO
3,4,LSO,LSO
3,5,LSO,LSO
3,6,LSO,LSO
3,7,LSO,LSO
3,8,LSO,LSO
3,9,LSO,LSO
3,10,LSO,LSO
4,5,LSO,LSO
4,6,LSO,LSO
4,7,LSO,LSO
4,8,LSO,LSO
4,9,LSO,LSO
4,10,LSO,LSO
5,6,LSO,LSO
5,7,LSO,LSO
5,8,LSO,LSO
5,9,LSO,LSO
5,10,LSO,LSO
6,7,LSO,LSO
6,8,LSO,LSO
6,9,LSO,LSO
6,10,LSO,LSO
7,8,LSO,LSO
7,9,LSO,LSO
7,10,LSO,LSO
8,9,LSO,LSO
8,10,LSO,LSO
9,10,LSO,LSO
