nodeID,nodeLabel,latitude,longitude
1,Berea,-29.196251582116705,27.917162228128404
2,Thaba-Tseka,-29.57011338886911,28.594117105235078
3,Butha-Buthe,-28.8029523471654,28.56385462462991
4,Leribe,-29.018020542241214,28.26428549933344
5,Mafeteng,-29.792135841622933,27.518160331173775
6,Maseru,-29.564685972429366,27.79843853178223
7,Mohale's Hoek,-30.069982860130718,27.800745471447843
8,Mokhotlong,-29.21987560357587,29.03146137262995
9,Qacha's Nek,-29.965596452426382,28.738085267306243
10,Quthing,-30.360104910627367,27.98566100085194
