nodeID_from,nodeID_to,country_name,country_ISO3
1,2,MAR,MAR
1,3,MAR,MAR
1,4,MAR,MAR
1,5,MAR,MAR
1,6,MAR,MAR
1,7,MAR,MAR
1,8,MAR,MAR
1,9,MAR,MAR
1,10,MAR,MAR
1,11,MAR,MAR
1,12,MAR,MAR
1,13,MAR,MAR
1,14,MAR,MAR
1,15,MAR,MAR
2,3,MAR,MAR
2,4,MAR,MAR
2,5,MAR,MAR
2,6,MAR,MAR
2,7,MAR,MAR
2,8,MAR,MAR
2,9,MAR,MAR
2,10,MAR,MAR
2,11,MAR,MAR
2,12,MAR,MAR
2,13,MAR,MAR
2,14,MAR,MAR
2,15,MAR,MAR
3,4,MAR,MAR
3,5,MAR,MAR
3,6,MAR,MAR
3,7,MAR,MAR
3,8,MAR,MAR
3,9,MAR,MAR
3,10,MAR,MAR
3,11,MAR,MAR
3,12,MAR,MAR
3,13,MAR,MAR
3,14,MAR,MAR
3,15,MAR,MAR
4,5,MAR,MAR
4,6,MAR,MAR
4,7,MAR,MAR
4,8,MAR,MAR
4,9,MAR,MAR
4,10,MAR,MAR
4,11,MAR,MAR
4,12,MAR,MAR
4,13,MAR,MAR
4,14,MAR,MAR
4,15,MAR,MAR
5,6,MAR,MAR
5,7,MAR,MAR
5,8,MAR,MAR
5,9,MAR,MAR
5,10,MAR,MAR
5,11,MAR,MAR
5,12,MAR,MAR
5,13,MAR,MAR
5,14,MAR,MAR
5,15,MAR,MAR
6,7,MAR,MAR
6,8,MAR,MAR
6,9,MAR,MAR
6,10,MAR,MAR
6,11,MAR,MAR
6,12,MAR,MAR
6,13,MAR,MAR
6,14,MAR,MAR
6,15,MAR,MAR
7,8,MAR,MAR
7,9,MAR,MAR
7,10,MAR,MAR
7,11,MAR,MAR
7,12,MAR,MAR
7,13,MAR,MAR
7,14,MAR,MAR
7,15,MAR,MAR
8,9,MAR,MAR
8,10,MAR,MAR
8,11,MAR,MAR
8,12,MAR,MAR
8,13,MAR,MAR
8,14,MAR,MAR
8,15,MAR,MAR
9,10,MAR,MAR
9,11,MAR,MAR
9,12,MAR,MAR
9,13,MAR,MAR
9,14,MAR,MAR
9,15,MAR,MAR
10,11,MAR,MAR
10,12,MAR,MAR
10,13,MAR,MAR
10,14,MAR,MAR
10,15,MAR,MAR
11,12,MAR,MAR
11,13,MAR,MAR
11,14,MAR,MAR
11,15,MAR,MAR
12,13,MAR,MAR
12,14,MAR,MAR
12,15,MAR,MAR
13,14,MAR,MAR
13,15,MAR,MAR
14,15,MAR,MAR
