nodeID_from,nodeID_to,country_name,country_ISO3
1,2,MMR,MMR
1,3,MMR,MMR
1,4,MMR,MMR
1,5,MMR,MMR
1,6,MMR,MMR
1,7,MMR,MMR
1,8,MMR,MMR
1,9,MMR,MMR
1,10,MMR,MMR
1,11,MMR,MMR
1,12,MMR,MMR
1,13,MMR,MMR
1,14,MMR,MMR
1,15,MMR,MMR
2,3,MMR,MMR
2,4,MMR,MMR
2,5,MMR,MMR
2,6,MMR,MMR
2,7,MMR,MMR
2,8,MMR,MMR
2,9,MMR,MMR
2,10,MMR,MMR
2,11,MMR,MMR
2,12,MMR,MMR
2,13,MMR,MMR
2,14,MMR,MMR
2,15,MMR,MMR
3,4,MMR,MMR
3,5,MMR,MMR
3,6,MMR,MMR
3,7,MMR,MMR
3,8,MMR,MMR
3,9,MMR,MMR
3,10,MMR,MMR
3,11,MMR,MMR
3,12,MMR,MMR
3,13,MMR,MMR
3,14,MMR,MMR
3,15,MMR,MMR
4,5,MMR,MMR
4,6,MMR,MMR
4,7,MMR,MMR
4,8,MMR,MMR
4,9,MMR,MMR
4,10,MMR,MMR
4,11,MMR,MMR
4,12,MMR,MMR
4,13,MMR,MMR
4,14,MMR,MMR
4,15,MMR,MMR
5,6,MMR,MMR
5,7,MMR,MMR
5,8,MMR,MMR
5,9,MMR,MMR
5,10,MMR,MMR
5,11,MMR,MMR
5,12,MMR,MMR
5,13,MMR,MMR
5,14,MMR,MMR
5,15,MMR,MMR
6,7,MMR,MMR
6,8,MMR,MMR
6,9,MMR,MMR
6,10,MMR,MMR
6,11,MMR,MMR
6,12,MMR,MMR
6,13,MMR,MMR
6,14,MMR,MMR
6,15,MMR,MMR
7,8,MMR,MMR
7,9,MMR,MMR
7,10,MMR,MMR
7,11,MMR,MMR
7,12,MMR,MMR
7,13,MMR,MMR
7,14,MMR,MMR
7,15,MMR,MMR
8,9,MMR,MMR
8,10,MMR,MMR
8,11,MMR,MMR
8,12,MMR,MMR
8,13,MMR,MMR
8,14,MMR,MMR
8,15,MMR,MMR
9,10,MMR,MMR
9,11,MMR,MMR
9,12,MMR,MMR
9,13,MMR,MMR
9,14,MMR,MMR
9,15,MMR,MMR
10,11,MMR,MMR
10,12,MMR,MMR
10,13,MMR,MMR
10,14,MMR,MMR
10,15,MMR,MMR
11,12,MMR,MMR
11,13,MMR,MMR
11,14,MMR,MMR
11,15,MMR,MMR
12,13,MMR,MMR
12,14,MMR,MMR
12,15,MMR,MMR
13,14,MMR,MMR
13,15,MMR,MMR
14,15,MMR,MMR
