nodeID_from,nodeID_to,country_name,country_ISO3
1,2,MOZ,MOZ
1,3,MOZ,MOZ
1,4,MOZ,MOZ
1,5,MOZ,MOZ
1,6,MOZ,MOZ
1,7,MOZ,MOZ
1,8,MOZ,MOZ
1,9,MOZ,MOZ
1,10,MOZ,MOZ
1,11,MOZ,MOZ
2,3,MOZ,MOZ
2,4,MOZ,MOZ
2,5,MOZ,MOZ
2,6,MOZ,MOZ
2,7,MOZ,MOZ
2,8,MOZ,MOZ
2,9,MOZ,MOZ
2,10,MOZ,MOZ
2,11,MOZ,MOZ
3,4,MOZ,MOZ
3,5,MOZ,MOZ
3,6,MOZ,MOZ
3,7,MOZ,MOZ
3,8,MOZ,MOZ
3,9,MOZ,MOZ
3,10,MOZ,MOZ
3,11,MOZ,MOZ
4,5,MOZ,MOZ
4,6,MOZ,MOZ
4,7,MOZ,MOZ
4,8,MOZ,MOZ
4,9,MOZ,MOZ
4,10,MOZ,MOZ
4,11,MOZ,MOZ
5,6,MOZ,MOZ
5,7,MOZ,MOZ
5,8,MOZ,MOZ
5,9,MOZ,MOZ
5,10,MOZ,MOZ
5,11,MOZ,MOZ
6,7,MOZ,MOZ
6,8,MOZ,MOZ
6,9,MOZ,MOZ
6,10,MOZ,MOZ
6,11,MOZ,MOZ
7,8,MOZ,MOZ
7,9,MOZ,MOZ
7,10,MOZ,MOZ
7,11,MOZ,MOZ
8,9,MOZ,MOZ
8,10,MOZ,MOZ
8,11,MOZ,MOZ
9,10,MOZ,MOZ
9,11,MOZ,MOZ
10,11,MOZ,MOZ
