nodeID,nodeLabel,latitude,longitude
1,Cabo Delgado,-12.458620457118307,39.36667124013613
2,Tete,-15.516682650330782,32.768173715680554
3,Zambezia,-16.651333035213234,36.98316268252602
4,Gaza,-23.320472063617604,32.80408349681372
5,Inhambane,-22.80887900617425,34.51464613488115
6,Manica,-19.02047288211999,33.42907821132909
7,Maputo,-25.52759199095002,32.45011451919238
8,Maputo City,-25.886910781382923,32.559487661609
9,Nampula,-14.96481585460215,39.24779414502072
10,Nassa,-13.060493278407113,36.465100720942324
11,Sofala,-19.0619764060876,34.67534108493062
