nodeID_from,nodeID_to,country_name,country_ISO3
1,2,MRT,MRT
1,3,MRT,MRT
1,4,MRT,MRT
1,5,MRT,MRT
1,6,MRT,MRT
1,7,MRT,MRT
1,8,MRT,MRT
1,9,MRT,MRT
1,10,MRT,MRT
1,11,MRT,MRT
1,12,MRT,MRT
1,13,MRT,MRT
2,3,MRT,MRT
2,4,MRT,MRT
2,5,MRT,MRT
2,6,MRT,MRT
2,7,MRT,MRT
2,8,MRT,MRT
2,9,MRT,MRT
2,10,MRT,MRT
2,11,MRT,MRT
2,12,MRT,MRT
2,13,MRT,MRT
3,4,MRT,MRT
3,5,MRT,MRT
3,6,MRT,MRT
3,7,MRT,MRT
3,8,MRT,MRT
3,9,MRT,MRT
3,10,MRT,MRT
3,11,MRT,MRT
3,12,MRT,MRT
3,13,MRT,MRT
4,5,MRT,MRT
4,6,MRT,MRT
4,7,MRT,MRT
4,8,MRT,MRT
4,9,MRT,MRT
4,10,MRT,MRT
4,11,MRT,MRT
4,12,MRT,MRT
4,13,MRT,MRT
5,6,MRT,MRT
5,7,MRT,MRT
5,8,MRT,MRT
5,9,MRT,MRT
5,10,MRT,MRT
5,11,MRT,MRT
5,12,MRT,MRT
5,13,MRT,MRT
6,7,MRT,MRT
6,8,MRT,MRT
6,9,MRT,MRT
6,10,MRT,MRT
6,11,MRT,MRT
6,12,MRT,MRT
6,13,MRT,MRT
7,8,MRT,MRT
7,9,MRT,MRT
7,10,MRT,MRT
7,11,MRT,MRT
7,12,MRT,MRT
7,13,MRT,MRT
8,9,MRT,MRT
8,10,MRT,MRT
8,11,MRT,MRT
8,12,MRT,MRT
8,13,MRT,MRT
9,10,MRT,MRT
9,11,MRT,MRT
9,12,MRT,MRT
9,13,MRT,MRT
10,11,MRT,MRT
10,12,MRT,MRT
10,13,MRT,MRT
11,12,MRT,MRT
11,13,MRT,MRT
12,13,MRT,MRT
