nodeID_from,nodeID_to,country_name,country_ISO3
1,2,MUS,MUS
1,3,MUS,MUS
1,4,MUS,MUS
1,5,MUS,MUS
1,6,MUS,MUS
1,7,MUS,MUS
1,8,MUS,MUS
1,9,MUS,MUS
1,10,MUS,MUS
2,3,MUS,MUS
2,4,MUS,MUS
2,5,MUS,MUS
2,6,MUS,MUS
2,7,MUS,MUS
2,8,MUS,MUS
2,9,MUS,MUS
2,10,MUS,MUS
3,4,MUS,MUS
3,5,MUS,MUS
3,6,MUS,MUS
3,7,MUS,MUS
3,8,MUS,MUS
3,9,MUS,MUS
3,10,MUS,MUS
4,5,MUS,MUS
4,6,MUS,MUS
4,7,MUS,MUS
4,8,MUS,MUS
4,9,MUS,MUS
4,10,MUS,MUS
5,6,MUS,MUS
5,7,MUS,MUS
5,8,MUS,MUS
5,9,MUS,MUS
5,10,MUS,MUS
6,7,MUS,MUS
6,8,MUS,MUS
6,9,MUS,MUS
6,10,MUS,MUS
7,8,MUS,MUS
7,9,MUS,MUS
7,10,MUS,MUS
8,9,MUS,MUS
8,10,MUS,MUS
9,10,MUS,MUS
