nodeID_from,nodeID_to,country_name,country_ISO3
1,2,NZL,NZL
1,3,NZL,NZL
1,4,NZL,NZL
1,5,NZL,NZL
1,6,NZL,NZL
1,7,NZL,NZL
1,8,NZL,NZL
1,9,NZL,NZL
1,10,NZL,NZL
1,11,NZL,NZL
1,12,NZL,NZL
1,13,NZL,NZL
1,14,NZL,NZL
1,15,NZL,NZL
2,3,NZL,NZL
2,4,NZL,NZL
2,5,NZL,NZL
2,6,NZL,NZL
2,7,NZL,NZL
2,8,NZL,NZL
2,9,NZL,NZL
2,10,NZL,NZL
2,11,NZL,NZL
2,12,NZL,NZL
2,13,NZL,NZL
2,14,NZL,NZL
2,15,NZL,NZL
3,4,NZL,NZL
3,5,NZL,NZL
3,6,NZL,NZL
3,7,NZL,NZL
3,8,NZL,NZL
3,9,NZL,NZL
3,10,NZL,NZL
3,11,NZL,NZL
3,12,NZL,NZL
3,13,NZL,NZL
3,14,NZL,NZL
3,15,NZL,NZL
4,5,NZL,NZL
4,6,NZL,NZL
4,7,NZL,NZL
4,8,NZL,NZL
4,9,NZL,NZL
4,10,NZL,NZL
4,11,NZL,NZL
4,12,NZL,NZL
4,13,NZL,NZL
4,14,NZL,NZL
4,15,NZL,NZL
5,6,NZL,NZL
5,7,NZL,NZL
5,8,NZL,NZL
5,9,NZL,NZL
5,10,NZL,NZL
5,11,NZL,NZL
5,12,NZL,NZL
5,13,NZL,NZL
5,14,NZL,NZL
5,15,NZL,NZL
6,7,NZL,NZL
6,8,NZL,NZL
6,9,NZL,NZL
6,10,NZL,NZL
6,11,NZL,NZL
6,12,NZL,NZL
6,13,NZL,NZL
6,14,NZL,NZL
6,15,NZL,NZL
7,8,NZL,NZL
7,9,NZL,NZL
7,10,NZL,NZL
7,11,NZL,NZL
7,12,NZL,NZL
7,13,NZL,NZL
7,14,NZL,NZL
7,15,NZL,NZL
8,9,NZL,NZL
8,10,NZL,NZL
8,11,NZL,NZL
8,12,NZL,NZL
8,13,NZL,NZL
8,14,NZL,NZL
8,15,NZL,NZL
9,10,NZL,NZL
9,11,NZL,NZL
9,12,NZL,NZL
9,13,NZL,NZL
9,14,NZL,NZL
9,15,NZL,NZL
10,11,NZL,NZL
10,12,NZL,NZL
10,13,NZL,NZL
10,14,NZL,NZL
10,15,NZL,NZL
11,12,NZL,NZL
11,13,NZL,NZL
11,14,NZL,NZL
11,15,NZL,NZL
12,13,NZL,NZL
12,14,NZL,NZL
12,15,NZL,NZL
13,14,NZL,NZL
13,15,NZL,NZL
14,15,NZL,NZL
