nodeID,nodeLabel,latitude,longitude
1,Auckland,-36.70827392267971,174.7309779356079
2,Northern Islands,-30.129445833941997,-179.53591652802024
3,Northland,-35.50844580252916,173.82927874579713
4,Otago,-45.26804443313834,169.42183356491347
5,Southern Islands,-50.97222477470426,166.9807981565141
6,Southland,-45.72825261541816,167.9309924921722
7,Taranaki,-39.314660403777076,174.46818424771283
8,Tasman,-41.449470689317245,172.64864361744603
9,Bay of Plenty,-38.127145530305455,176.8073383060071
10,Canterbury,-43.67899663060768,171.49415281863438
11,Gisborne,-38.28152962437825,177.92086104962257
12,Hawke's Bay,-39.411083464546245,176.7957212586809
13,Manawatu-Wanganui,-39.77191966591024,175.5995202343491
14,Marlborough,-41.69557420245565,173.52992286780398
15,Nelson,-41.246268322260825,173.39230532740405
