nodeID_from,nodeID_to,country_name,country_ISO3
1,2,OMN,OMN
1,3,OMN,OMN
1,4,OMN,OMN
1,5,OMN,OMN
1,6,OMN,OMN
1,7,OMN,OMN
1,8,OMN,OMN
1,9,OMN,OMN
1,10,OMN,OMN
1,11,OMN,OMN
2,3,OMN,OMN
2,4,OMN,OMN
2,5,OMN,OMN
2,6,OMN,OMN
2,7,OMN,OMN
2,8,OMN,OMN
2,9,OMN,OMN
2,10,OMN,OMN
2,11,OMN,OMN
3,4,OMN,OMN
3,5,OMN,OMN
3,6,OMN,OMN
3,7,OMN,OMN
3,8,OMN,OMN
3,9,OMN,OMN
3,10,OMN,OMN
3,11,OMN,OMN
4,5,OMN,OMN
4,6,OMN,OMN
4,7,OMN,OMN
4,8,OMN,OMN
4,9,OMN,OMN
4,10,OMN,OMN
4,11,OMN,OMN
5,6,OMN,OMN
5,7,OMN,OMN
5,8,OMN,OMN
5,9,OMN,OMN
5,10,OMN,OMN
5,11,OMN,OMN
6,7,OMN,OMN
6,8,OMN,OMN
6,9,OMN,OMN
6,10,OMN,OMN
6,11,OMN,OMN
7,8,OMN,OMN
7,9,OMN,OMN
7,10,OMN,OMN
7,11,OMN,OMN
8,9,OMN,OMN
8,10,OMN,OMN
8,11,OMN,OMN
9,10,OMN,OMN
9,11,OMN,OMN
10,11,OMN,OMN
