nodeID_from,nodeID_to,country_name,country_ISO3
1,2,PAN,PAN
1,3,PAN,PAN
1,4,PAN,PAN
1,5,PAN,PAN
1,6,PAN,PAN
1,7,PAN,PAN
1,8,PAN,PAN
1,9,PAN,PAN
1,10,PAN,PAN
1,11,PAN,PAN
1,12,PAN,PAN
2,3,PAN,PAN
2,4,PAN,PAN
2,5,PAN,PAN
2,6,PAN,PAN
2,7,PAN,PAN
2,8,PAN,PAN
2,9,PAN,PAN
2,10,PAN,PAN
2,11,PAN,PAN
2,12,PAN,PAN
3,4,PAN,PAN
3,5,PAN,PAN
3,6,PAN,PAN
3,7,PAN,PAN
3,8,PAN,PAN
3,9,PAN,PAN
3,10,PAN,PAN
3,11,PAN,PAN
3,12,PAN,PAN
4,5,PAN,PAN
4,6,PAN,PAN
4,7,PAN,PAN
4,8,PAN,PAN
4,9,PAN,PAN
4,10,PAN,PAN
4,11,PAN,PAN
4,12,PAN,PAN
5,6,PAN,PAN
5,7,PAN,PAN
5,8,PAN,PAN
5,9,PAN,PAN
5,10,PAN,PAN
5,11,PAN,PAN
5,12,PAN,PAN
6,7,PAN,PAN
6,8,PAN,PAN
6,9,PAN,PAN
6,10,PAN,PAN
6,11,PAN,PAN
6,12,PAN,PAN
7,8,PAN,PAN
7,9,PAN,PAN
7,10,PAN,PAN
7,11,PAN,PAN
7,12,PAN,PAN
8,9,PAN,PAN
8,10,PAN,PAN
8,11,PAN,PAN
8,12,PAN,PAN
9,10,PAN,PAN
9,11,PAN,PAN
9,12,PAN,PAN
10,11,PAN,PAN
10,12,PAN,PAN
11,12,PAN,PAN
