nodeID,nodeLabel,latitude,longitude
1,Amazonas,-5.074078931639576,-78.0508115815523
2,Huánuco,-9.421675602983093,-76.04064200587872
3,Ica,-14.235097229844841,-75.57482117171759
4,Junín,-11.541782725715452,-74.87696792287282
5,La Libertad,-7.921390220330749,-78.37023831305474
6,Lambayeque,-6.353049181392874,-79.8241132617051
7,Lima,-11.766533160439886,-76.60449761541346
8,Lima Province,-12.018026920646042,-76.90478283055204
9,Loreto,-4.123815175551502,-74.42407340431154
10,Madre de Dios,-11.972698877278557,-70.53171957284117
11,Moquegua,-16.860270590168717,-70.8390463084425
12,Ancash,-9.407124949900343,-77.67179524517981
13,Pasco,-10.396550065754832,-75.30763472294734
14,Piura,-5.13322118199577,-80.33558399322501
15,Puno,-14.995827238514092,-69.9227264588539
16,San Martín,-7.039530615400624,-76.72912743226979
17,Tacna,-17.644160773510716,-70.27755983593373
18,Tumbes,-3.8575617632737123,-80.5452105491816
19,Ucayali,-9.621717781932041,-73.4449286472604
20,Apurímac,-14.027713482915502,-72.97537806517362
21,Arequipa,-15.843523745581269,-72.47553940432213
22,Ayacucho,-14.091648334141906,-74.08343953320546
23,Cajamarca,-6.430130469581101,-78.7456013119363
24,Callao,-11.954608777157105,-77.13604207198112
25,Cusco,-13.191068206514975,-72.15360886313043
26,Huancavelica,-13.023887579569488,-75.00276985030071
