nodeID,nodeLabel,latitude,longitude
1,Alto Paraguay,-20.58976844305437,-59.41000905010759
2,Concepción,-22.838760884072478,-57.11931335396364
3,Cordillera,-25.19186161943143,-56.94580559796201
4,Guairá,-25.82298792932318,-56.29539770430289
5,Itapúa,-26.831173141275997,-55.747040487615635
6,Misiones,-26.950607906347415,-57.08549482637858
7,Ñeembucú,-26.75998869251732,-57.90240666241359
8,Paraguarí,-26.039426674105574,-57.12992730282326
9,Presidente Hayes,-23.61277278349774,-58.685965144972805
10,San Pedro,-24.164982100892647,-56.64677903713144
11,Alto Paraná,-25.38805390973793,-54.95322227608627
12,Amambay,-22.875807738607776,-56.062649487596666
13,Asunción,-25.279462549657584,-57.60262028097257
14,Boquerón,-21.904238906554614,-61.05816876525361
15,Caaguazú,-25.18672813134111,-55.882731089397794
16,Caazapá,-26.234856033698936,-56.0589069006714
17,Canindeyú,-24.2275723824366,-55.21860603092714
18,Central,-25.53489497887995,-57.493606115745955
