nodeID,nodeLabel,latitude,longitude
1,`Asir,19.271808456819663,42.99428168322498
2,Jizan,17.349268202798036,42.60320110193496
3,Makkah,21.626308441211457,41.20822269883174
4,Najran,18.283989809264124,45.82639201013389
5,Tabuk,27.387037733057532,37.29483956876088
6,Al Bahah,20.10592020315325,41.41501589996706
7,Al Hudud ash Shamaliyah,29.896004815131015,42.04026652513124
8,Al Jawf,29.673111726058103,38.746826741965
9,Al Madinah,24.889525709903427,39.51715021395329
10,Al Quassim,25.9461628271808,43.219329354225366
11,Ar Riyad,23.068528475854368,45.55003964400593
12,Ash Sharqiyah,22.915142350401432,50.15231973674719
13,Ha'il,27.34901820255821,41.60781467587613
