nodeID_from,nodeID_to,country_name,country_ISO3
1,2,SLV,SLV
1,3,SLV,SLV
1,4,SLV,SLV
1,5,SLV,SLV
1,6,SLV,SLV
1,7,SLV,SLV
1,8,SLV,SLV
1,9,SLV,SLV
1,10,SLV,SLV
1,11,SLV,SLV
1,12,SLV,SLV
1,13,SLV,SLV
1,14,SLV,SLV
2,3,SLV,SLV
2,4,SLV,SLV
2,5,SLV,SLV
2,6,SLV,SLV
2,7,SLV,SLV
2,8,SLV,SLV
2,9,SLV,SLV
2,10,SLV,SLV
2,11,SLV,SLV
2,12,SLV,SLV
2,13,SLV,SLV
2,14,SLV,SLV
3,4,SLV,SLV
3,5,SLV,SLV
3,6,SLV,SLV
3,7,SLV,SLV
3,8,SLV,SLV
3,9,SLV,SLV
3,10,SLV,SLV
3,11,SLV,SLV
3,12,SLV,SLV
3,13,SLV,SLV
3,14,SLV,SLV
4,5,SLV,SLV
4,6,SLV,SLV
4,7,SLV,SLV
4,8,SLV,SLV
4,9,SLV,SLV
4,10,SLV,SLV
4,11,SLV,SLV
4,12,SLV,SLV
4,13,SLV,SLV
4,14,SLV,SLV
5,6,SLV,SLV
5,7,SLV,SLV
5,8,SLV,SLV
5,9,SLV,SLV
5,10,SLV,SLV
5,11,SLV,SLV
5,12,SLV,SLV
5,13,SLV,SLV
5,14,SLV,SLV
6,7,SLV,SLV
6,8,SLV,SLV
6,9,SLV,SLV
6,10,SLV,SLV
6,11,SLV,SLV
6,12,SLV,SLV
6,13,SLV,SLV
6,14,SLV,SLV
7,8,SLV,SLV
7,9,SLV,SLV
7,10,SLV,SLV
7,11,SLV,SLV
7,12,SLV,SLV
7,13,SLV,SLV
7,14,SLV,SLV
8,9,SLV,SLV
8,10,SLV,SLV
8,11,SLV,SLV
8,12,SLV,SLV
8,13,SLV,SLV
8,14,SLV,SLV
9,10,SLV,SLV
9,11,SLV,SLV
9,12,SLV,SLV
9,13,SLV,SLV
9,14,SLV,SLV
10,11,SLV,SLV
10,12,SLV,SLV
10,13,SLV,SLV
10,14,SLV,SLV
11,12,SLV,SLV
11,13,SLV,SLV
11,14,SLV,SLV
12,13,SLV,SLV
12,14,SLV,SLV
13,14,SLV,SLV
