nodeID,nodeLabel,latitude,longitude
1,Stockholms län,59.545,18.28828355787011
2,Uppsala län,60.00049999999999,17.54114876033057
3,Södermanlands län,59.094500000000004,16.55378125
4,Östergötlands län,58.337,15.708385371179041
5,Örebro län,59.5265,14.979737166831192
6,Västmanlands län,59.663,16.195430365296804
7,Jönköpings län,57.622,14.569406558572089
8,Kronobergs län,56.641999999999996,14.437155741771871
9,Kalmar län,57.35249999999999,16.08925461893764
10,Gotlands län,57.46,18.466888739946377
11,Blekinge län,56.213499999999996,15.22532581453634
12,Skåne län,55.745,13.620674566374722
13,Hallands län,57.059,12.877542677448346
14,Västra Götalands län,58.337,12.935690868263475
15,Värmlands län,59.956999999999994,13.340992663791756
16,Dalarnas län,61.114000000000004,14.228689369369363
17,Gävleborgs län,61.317,16.358829388560157
18,Västernorrlands län,63.2415,17.61178365384615
19,Jämtlands län,63.30050000000001,14.20244711538461
20,Västerbottens län,64.961,18.047426594906796
21,Norrbottens län,66.9505,19.978878495612207
