nodeID,nodeLabel,latitude,longitude
1,Aileu,-8.701431953262137,125.63596040939134
2,Liquiçá,-8.652460742819294,125.29604774239844
3,Manatuto,-8.71311247271873,125.97653133115473
4,Manufahi,-8.991790595200358,125.79998228619718
5,Viqueque,-8.80065912750214,126.35926794336633
6,Ainaro,-9.001841368116303,125.57332694928435
7,Baucau,-8.564568029297384,126.46981110871637
8,Dili,-8.428941128892482,125.63018391743289
9,Ermera,-8.812590371663513,125.38773429389116
10,Lautém,-8.514546646369526,126.96838667403254
