nodeID,nodeLabel,latitude,longitude
1,Arima,10.62762715702255,-61.27985870395167
2,San Fernando,10.281996607297366,-61.455209102086606
3,San Juan-Laventille,10.685366743452233,-61.445247828503035
4,Sangre Grande,10.647320849240797,-61.09959123466294
5,Siparia,10.136205997195646,-61.64083905179164
6,Tobago,11.242041195528097,-60.66507296710364
7,Tunapuna/Piarco,10.687662955097021,-61.30804339930315
8,Chaguanas,10.536105647765353,-61.410506668200014
9,Couva-Tabaquite-Talparo,10.439267049138982,-61.33626166639145
10,Diego Martin,10.710553313699563,-61.586075307628676
11,Mayaro/Rio Claro,10.278349908965787,-61.10601162061065
12,Penal-Debe,10.161140173836605,-61.438698802625915
13,Point Fortin,10.17473968148476,-61.67106606160716
14,Port of Spain,10.662301251411227,-61.51677931519611
15,Princes Town,10.202836379218724,-61.29599108898592
