nodeID,nodeLabel,latitude,longitude
1,Artigas,-30.546794088336217,-56.95090082967582
2,Montevideo,-34.825817942051636,-56.226730132507434
3,Paysandú,-32.032523176252724,-57.37946993295652
4,Río Negro,-32.717256776174125,-57.46636860687438
5,Rivera,-31.647494798301558,-55.03440980143654
6,Rocha,-33.9432173637681,-54.02295845852754
7,Salto,-31.23718263152117,-57.04947574277784
8,San José,-34.27395895843892,-56.74566967017026
9,Soriano,-33.477861251511534,-57.764325585555596
10,Tacuarembó,-32.0393762541466,-55.80700523667519
11,Treinta y Tres,-33.00139611657213,-54.30491542292897
12,Canelones,-34.519162747318205,-55.95869140497102
13,Cerro Largo,-32.40241206239553,-54.37491647327767
14,Colonia,-34.112193886324185,-57.6785388685413
15,Durazno,-32.935340298677794,-56.10790150382991
16,Flores,-33.50982540399133,-56.935980175466035
17,Florida,-33.70327742689995,-55.901942457134034
18,Lavalleja,-33.86805700645152,-55.008688500172966
19,Maldonado,-34.54699157790281,-54.861868994566564
