nodeID_from,nodeID_to,country_name,country_ISO3
1,2,UZB,UZB
1,3,UZB,UZB
1,4,UZB,UZB
1,5,UZB,UZB
1,6,UZB,UZB
1,7,UZB,UZB
1,8,UZB,UZB
1,9,UZB,UZB
1,10,UZB,UZB
1,11,UZB,UZB
1,12,UZB,UZB
1,13,UZB,UZB
1,14,UZB,UZB
2,3,UZB,UZB
2,4,UZB,UZB
2,5,UZB,UZB
2,6,UZB,UZB
2,7,UZB,UZB
2,8,UZB,UZB
2,9,UZB,UZB
2,10,UZB,UZB
2,11,UZB,UZB
2,12,UZB,UZB
2,13,UZB,UZB
2,14,UZB,UZB
3,4,UZB,UZB
3,5,UZB,UZB
3,6,UZB,UZB
3,7,UZB,UZB
3,8,UZB,UZB
3,9,UZB,UZB
3,10,UZB,UZB
3,11,UZB,UZB
3,12,UZB,UZB
3,13,UZB,UZB
3,14,UZB,UZB
4,5,UZB,UZB
4,6,UZB,UZB
4,7,UZB,UZB
4,8,UZB,UZB
4,9,UZB,UZB
4,10,UZB,UZB
4,11,UZB,UZB
4,12,UZB,UZB
4,13,UZB,UZB
4,14,UZB,UZB
5,6,UZB,UZB
5,7,UZB,UZB
5,8,UZB,UZB
5,9,UZB,UZB
5,10,UZB,UZB
5,11,UZB,UZB
5,12,UZB,UZB
5,13,UZB,UZB
5,14,UZB,UZB
6,7,UZB,UZB
6,8,UZB,UZB
6,9,UZB,UZB
6,10,UZB,UZB
6,11,UZB,UZB
6,12,UZB,UZB
6,13,UZB,UZB
6,14,UZB,UZB
7,8,UZB,UZB
7,9,UZB,UZB
7,10,UZB,UZB
7,11,UZB,UZB
7,12,UZB,UZB
7,13,UZB,UZB
7,14,UZB,UZB
8,9,UZB,UZB
8,10,UZB,UZB
8,11,UZB,UZB
8,12,UZB,UZB
8,13,UZB,UZB
8,14,UZB,UZB
9,10,UZB,UZB
9,11,UZB,UZB
9,12,UZB,UZB
9,13,UZB,UZB
9,14,UZB,UZB
10,11,UZB,UZB
10,12,UZB,UZB
10,13,UZB,UZB
10,14,UZB,UZB
11,12,UZB,UZB
11,13,UZB,UZB
11,14,UZB,UZB
12,13,UZB,UZB
12,14,UZB,UZB
13,14,UZB,UZB
