nodeID_from,nodeID_to,country_name,country_ISO3
1,2,ZMB,ZMB
1,3,ZMB,ZMB
1,4,ZMB,ZMB
1,5,ZMB,ZMB
1,6,ZMB,ZMB
1,7,ZMB,ZMB
1,8,ZMB,ZMB
1,9,ZMB,ZMB
1,10,ZMB,ZMB
2,3,ZMB,ZMB
2,4,ZMB,ZMB
2,5,ZMB,ZMB
2,6,ZMB,ZMB
2,7,ZMB,ZMB
2,8,ZMB,ZMB
2,9,ZMB,ZMB
2,10,ZMB,ZMB
3,4,ZMB,ZMB
3,5,ZMB,ZMB
3,6,ZMB,ZMB
3,7,ZMB,ZMB
3,8,ZMB,ZMB
3,9,ZMB,ZMB
3,10,ZMB,ZMB
4,5,ZMB,ZMB
4,6,ZMB,ZMB
4,7,ZMB,ZMB
4,8,ZMB,ZMB
4,9,ZMB,ZMB
4,10,ZMB,ZMB
5,6,ZMB,ZMB
5,7,ZMB,ZMB
5,8,ZMB,ZMB
5,9,ZMB,ZMB
5,10,ZMB,ZMB
6,7,ZMB,ZMB
6,8,ZMB,ZMB
6,9,ZMB,ZMB
6,10,ZMB,ZMB
7,8,ZMB,ZMB
7,9,ZMB,ZMB
7,10,ZMB,ZMB
8,9,ZMB,ZMB
8,10,ZMB,ZMB
9,10,ZMB,ZMB
