nodeID,nodeLabel,latitude,longitude
1,Central,-14.17898707347041,28.599224305390262
2,Western,-15.643879933419026,23.672096486452514
3,Copperbelt,-13.115215473769682,27.846837352566485
4,Eastern,-13.600366461147566,31.88283639290205
5,Luapula,-10.696356517016891,29.211567409614876
6,Lusaka,-15.358371086063201,29.211544834372734
7,Muchinga,-11.357416064426438,31.980428942310663
8,North-Western,-13.033964539937307,25.05751528562127
9,Northern,-9.729916608624205,30.66940291159466
10,Southern,-16.583697751176942,26.658495405622435
