nodeID_from,nodeID_to,country_name,country_ISO3
1,2,ZWE,ZWE
1,3,ZWE,ZWE
1,4,ZWE,ZWE
1,5,ZWE,ZWE
1,6,ZWE,ZWE
1,7,ZWE,ZWE
1,8,ZWE,ZWE
1,9,ZWE,ZWE
1,10,ZWE,ZWE
2,3,ZWE,ZWE
2,4,ZWE,ZWE
2,5,ZWE,ZWE
2,6,ZWE,ZWE
2,7,ZWE,ZWE
2,8,ZWE,ZWE
2,9,ZWE,ZWE
2,10,ZWE,ZWE
3,4,ZWE,ZWE
3,5,ZWE,ZWE
3,6,ZWE,ZWE
3,7,ZWE,ZWE
3,8,ZWE,ZWE
3,9,ZWE,ZWE
3,10,ZWE,ZWE
4,5,ZWE,ZWE
4,6,ZWE,ZWE
4,7,ZWE,ZWE
4,8,ZWE,ZWE
4,9,ZWE,ZWE
4,10,ZWE,ZWE
5,6,ZWE,ZWE
5,7,ZWE,ZWE
5,8,ZWE,ZWE
5,9,ZWE,ZWE
5,10,ZWE,ZWE
6,7,ZWE,ZWE
6,8,ZWE,ZWE
6,9,ZWE,ZWE
6,10,ZWE,ZWE
7,8,ZWE,ZWE
7,9,ZWE,ZWE
7,10,ZWE,ZWE
8,9,ZWE,ZWE
8,10,ZWE,ZWE
9,10,ZWE,ZWE
