nodeID,nodeLabel,latitude,longitude
1,Bulawayo,-20.140591794520283,28.548114694295375
2,Midlands,-18.98017653404551,29.465822800250493
3,Harare,-17.859328357626715,31.0650446719662
4,Manicaland,-19.061162308214413,32.39751357358431
5,Mashonaland Central,-16.70151538348962,31.18922010977787
6,Mashonaland East,-17.985184962313337,31.694154931194397
7,Mashonaland West,-17.180755180061787,29.707802517543637
8,Masvingo,-20.7834227333274,31.24246685919195
9,Matabeleland North,-18.826404675940957,27.40164808780465
10,Matabeleland South,-21.00845573845868,28.989028433430132
